NodeNum,Inst,SEQ,Method,FlexLex,CP,Obj,Time,sel
15,15-PatPS_868_4085_1_2_1_1,868,TI,L,31.58,38.29,5.553,6
15,15-PatPS_869_4085_2_3_2_2,869,TI,H,15.27,23.96,3.232,6_10
15,15-PatPS_870_4741_1_2_1_1,870,TI,L,39.17,50.05,5.204,3
15,15-PatPS_871_4741_2_3_2_2,871,TI,H,23.37,23.93,1.352,6_10
15,15-PatPS_872_4971_1_2_1_1,872,TI,L,32.71,38.54,2.498,10
15,15-PatPS_873_4971_2_3_2_2,873,TI,H,20.720001,24.37,1,4_10
15,15-PatPS_874_4468_1_2_1_1,874,TI,L,26.439999,31.77,1.121,9
15,15-PatPS_875_4468_2_3_2_2,875,TI,H,9.41,17.74,2.886,1_9
15,15-PatPS_876_4461_1_2_1_1,876,TI,L,50.110004,51.27,1.433,7
15,15-PatPS_877_4461_2_3_2_2,877,TI,H,19.970001,20.92,1.08,11_8
15,15-PatPS_878_4609_1_2_1_1,878,TI,L,43,51.29,2.845,4
15,15-PatPS_879_4609_2_3_2_2,879,TI,H,23.65,23.66,1.234,5_15
15,15-PatPS_880_4780_1_2_1_1,880,TI,L,44.890003,46.62,4.716,14
15,15-PatPS_881_4780_2_3_2_2,881,TI,H,23.1,31.06,1.7,12_13
15,15-PatPS_882_4663_1_2_1_1,882,TI,L,28.9,38.65,4.623,8
15,15-PatPS_883_4663_2_3_2_2,883,TI,H,9.66,15.41,2.382,10_4
15,15-PatPS_884_4086_1_2_1_1,884,TI,L,24.38,35.07,9.705,3
15,15-PatPS_885_4086_2_3_2_2,885,TI,H,7.81,19.54,8.875,3_9
15,15-PatPS_886_4205_1_2_1_1,886,TI,L,40.5,51.24,3.277,14
15,15-PatPS_887_4205_2_3_2_2,887,TI,H,23.79,29.69,1.616,5_14
15,15-PatPS_888_4989_1_2_1_1,888,TI,L,44.300003,53.74,9.744,6
15,15-PatPS_889_4989_2_3_2_2,889,TI,H,14.690001,22.38,2.108,2_13
15,15-PatPS_890_4494_1_2_1_1,890,TI,L,35.17,43.81,3.337,2
15,15-PatPS_891_4494_2_3_2_2,891,TI,H,13.71,22.03,2.487,7_0
15,15-PatPS_892_4949_1_2_1_1,892,TI,L,39,41.05,2.287,2
15,15-PatPS_893_4949_2_3_2_2,893,TI,H,14.98,21.02,2.786,9_15
15,15-PatPS_894_4423_1_2_1_1,894,TI,L,35.47,36.46,2.652,9
15,15-PatPS_895_4423_2_3_2_2,895,TI,H,8.65,15.97,1.849,11_9
15,15-PatPS_896_4212_1_2_1_1,896,TI,L,41.5,46.98,1.656,4
15,15-PatPS_897_4212_2_3_2_2,897,TI,H,16.47,18.15,1.29,7_4
15,15-PatPS_898_4349_1_2_1_1,898,TI,L,34.72,40.28,4.223,2
15,15-PatPS_899_4349_2_3_2_2,899,TI,H,17.419998,19.42,1.58,13_0
15,15-PatPS_900_5684_1_2_1_1,900,TI,L,44.28,47.68,1.385,8
15,15-PatPS_901_5684_2_3_2_2,901,TI,H,22.470001,23.67,1.436,8_13
15,15-PatPS_902_5203_1_2_1_1,902,TI,L,70.56999,70.57,1.941,4
15,15-PatPS_903_5203_2_3_2_2,903,TI,H,30.13,36.88,1.796,4_11
15,15-PatPS_904_5151_1_2_1_1,904,TI,L,53.350002,65.17,7.249,3
15,15-PatPS_905_5151_2_3_2_2,905,TI,H,32.4,36.99,2.075,3_14
15,15-PatPS_906_5035_1_2_1_1,906,TI,L,33.37,47.46,4.569,6
15,15-PatPS_907_5035_2_3_2_2,907,TI,H,10.62,17.39,2.867,15_10
15,15-PatPS_908_5867_1_2_1_1,908,TI,L,53.879997,55.89,1.53,4
15,15-PatPS_909_5867_2_3_2_2,909,TI,H,23.86,23.86,1.293,4_8
15,15-PatPS_910_5837_1_2_1_1,910,TI,L,54.1,55.69,1.288,14
15,15-PatPS_911_5837_2_3_2_2,911,TI,H,21.400002,30.92,5.978,8_14
15,15-PatPS_912_5873_1_2_1_1,912,TI,L,49.57,54.67,1.215,13
15,15-PatPS_913_5873_2_3_2_2,913,TI,H,21.51,26.26,2.004,7_0
15,15-PatPS_914_5127_1_2_1_1,914,TI,L,39.05,48.37,1.945,7
15,15-PatPS_915_5127_2_3_2_2,915,TI,H,19.960001,22.03,1.542,14_0
15,15-PatPS_916_5485_1_2_1_1,916,TI,L,51.83,61.61,3.273,3
15,15-PatPS_917_5485_2_3_2_2,917,TI,H,28.490002,31.43,1.656,13_9
15,15-PatPS_918_5478_1_2_1_1,918,TI,L,46.649998,59.38,3.284,15
15,15-PatPS_919_5478_2_3_2_2,919,TI,H,24.109999,33.9,2.137,4_12
15,15-PatPS_920_5016_1_2_1_1,920,TI,L,33.839996,34.99,1.355,3
15,15-PatPS_921_5016_2_3_2_2,921,TI,H,11.52,16.2,2.069,3_14
15,15-PatPS_922_5653_1_2_1_1,922,TI,L,38.169994,49.26,3.811,6
15,15-PatPS_923_5653_2_3_2_2,923,TI,H,22.789999,27.13,1.556,8_9
15,15-PatPS_924_5772_1_2_1_1,924,TI,L,43.49,44.92,3.942,1
15,15-PatPS_925_5772_2_3_2_2,925,TI,H,13.030001,17.11,2.023,14_0
